epoch,Loss,Loss_kld,MSE,val_MSE,val_hd,val_iou
0,0.05438234892984231,0.0011489359850188094,0.053233412373811004,0.01766941815220109,58.00240190748466,0.14354510598434425
1,0.016285249513263503,0.00035919287935892757,0.015926056588068605,0.015132371960302581,54.74042210084463,0.20650377998859176
2,0.013665600819513202,0.00011047086127599081,0.013555129943415522,0.014834342496649418,53.360177585829334,0.20311598759572388
3,0.011673632652188341,7.466545414924622e-05,0.01159896720200777,0.013467583611519838,51.126294826834354,0.2432107162075007
4,0.008641916311656435,5.83530366420746e-05,0.008583563255767028,0.012922622224601133,48.45464997175601,0.24361989071619336
5,0.006526405860980352,5.407933815320332e-05,0.0064723265046874685,0.012437666599528085,47.08123482353325,0.2428546287927709
6,0.005566766578704118,5.397396699587506e-05,0.005512792601560553,0.011362697368190922,45.17523019100226,0.27440218962240914
7,0.005044855674107869,5.299227706591291e-05,0.004991863411851228,0.012052073873835355,46.10716810966094,0.23990407218671708
8,0.004683813235412042,5.207352741559346e-05,0.004631739695711682,0.010804514164276842,44.499565321071046,0.27533324509272034
9,0.004413037665653974,5.13427894115448e-05,0.004361694880450765,0.010308160479051738,43.12304554022991,0.28512852052854715
10,0.004183202919860681,5.0799416303634644e-05,0.004132403514813632,0.010129440268049706,42.8255939739261,0.28717433064448333
11,0.004002566441583136,5.0456582705179857e-05,0.0039521098757783575,0.009934857658748004,42.40369402653472,0.3054527942523992
12,0.003882477494577567,4.945822127660116e-05,0.003833019263887157,0.009673371967343122,41.91415221281589,0.29444230972599084
13,0.003746450583760937,4.8716491778691614e-05,0.0036977341126961014,0.009441748489665842,41.172646568588846,0.2919728723964011
14,0.0035996181114266316,4.8738889853159576e-05,0.003550879218770812,0.009017695306221783,40.249605841529025,0.3130981850588027
15,0.003501318977214396,4.829579027493796e-05,0.003453023184556514,0.008951271540220055,40.491150289844846,0.3083776905763817
16,0.0034001770972584685,4.769323515892029e-05,0.003352483850903809,0.008872833303327422,39.95211377775971,0.31076756320285354
17,0.0033687338621045154,4.7178704023361217e-05,0.0033215551365477344,0.008423474950550009,39.62006019733998,0.30873458736755965
18,0.0032313168320494395,4.679466915130616e-05,0.003184522168400387,0.008251831408428743,38.9933625761327,0.3364056211846014
19,0.003146043031786879,4.729601041475932e-05,0.0030987470061518254,0.008162455192799642,38.68157564666763,0.3354603956099256
20,0.0031122179236263035,4.634949270884195e-05,0.0030658684282874066,0.008113183581617488,39.036329597791884,0.3234389196634026
21,0.003041848773136735,4.5873878876368234e-05,0.0029959748964756725,0.008022083731735623,37.97353647633653,0.3327907043757046
22,0.002960273192729801,4.628521498044332e-05,0.0029139879741705956,0.007609551480241047,37.09153106265506,0.35426423502311416
23,0.0029049875602747003,4.5319523970286055e-05,0.002859668022332092,0.0075961766544697705,37.19227868626688,0.3459506590981053
24,0.002844322849220286,4.55602514743805e-05,0.002798762599316736,0.007257078650659944,36.19690039923318,0.3618969235140866
25,0.0028041596602027615,4.5083604017893457e-05,0.0027590760611928998,0.007153259654652672,36.24964329274048,0.36125820845870615
26,0.002787748444825411,4.447511601448059e-05,0.0027432733215391634,0.007099129110209957,35.89043194546968,0.3542910720014215
27,0.0027135042939335106,4.459621381759644e-05,0.0026689080793100097,0.0070811219734462656,35.688469284901714,0.35908296133524625
28,0.002648311403269569,4.413465722401936e-05,0.0026041767598750693,0.006852148222760279,35.098787648075906,0.373757784364609
29,0.0025873853475786744,4.444400135676066e-05,0.0025429413576299946,0.006627513265405077,34.75512521286244,0.38329608812339466
30,0.0025866373830164473,4.3780702670415246e-05,0.0025428566616028546,0.006462239255162115,34.102463736159,0.3790949026339777
31,0.002524912491207942,4.3787264585495e-05,0.0024811252388947953,0.006587160399433955,34.45423329821319,0.37968997641356683
32,0.002501926210243255,4.356436483065286e-05,0.002458361838944256,0.006419638496706343,33.816432464127374,0.38148689264902474
33,0.0024481148342601956,4.3504930893580125e-05,0.0024046099026842666,0.0064201005824707676,33.91503010677713,0.388747036788729
34,0.002418054958495001,4.3166571219762185e-05,0.0023748883919324725,0.006122039309443286,32.85411468821781,0.4159448166969656
35,0.002358123076070721,4.3363130648930874e-05,0.002314759963580097,0.005998353395403031,32.668883435899474,0.40921451241610374
36,0.00234608039415131,4.282660476366679e-05,0.002303253785551836,0.005926124031489113,32.336139460323245,0.4035205079657292
37,0.0023330305159712833,4.23765516281128e-05,0.0022906539496034386,0.005968759987208562,32.67225879109601,0.39217113828197886
38,0.002283196841987471,4.2562059561411545e-05,0.002240634781386082,0.005606952201114877,31.37988583855176,0.4341172173506428
39,0.0022445714217610656,4.221963731447855e-05,0.002202351775486022,0.005756040183884866,31.845391541544334,0.4241760355847258
40,0.00226950886232468,4.219670883814494e-05,0.002227312163449824,0.005418305051555962,30.779676501191567,0.43817055352129525
41,0.0021960727870464327,4.1839262485504175e-05,0.002154233531715969,0.0053313175317789546,30.422809906792132,0.45070247366081156
42,0.0021407090166273217,4.198754779497783e-05,0.002098721465639149,0.005628332298352058,31.450645272428225,0.4368026229523723
43,0.0021353002715234957,4.1475770950317385e-05,0.0020938244958718616,0.0053934829285118184,30.81258010008508,0.4307105456870744
44,0.0020960908538351455,4.1488204797108966e-05,0.002054602637266119,0.005160381878644514,30.153156668332525,0.44346554348770756
45,0.0020693834754638373,4.138673186302186e-05,0.002027996740071103,0.005464495180497925,31.01281558216657,0.4354426637465177
46,0.002047276023464898,4.101399223009745e-05,0.0020062620208288235,0.005071506916051242,29.515331276075145,0.44928938152544257
