epoch,loss,iou,dice,val_loss,val_iou,val_dice
0,0.01499602,0.9311273648572956,0.9587765018984753,0.008835635,0.9218469759475856,0.9527185589353617
1,0.007718133,0.9290449030335629,0.9570490806875105,0.010177868,0.9134297906533615,0.9470164104042765
2,0.008952787,0.9296741813196389,0.9574780356995929,0.00858156,0.9229503566968411,0.9529944480022536
3,0.0067413975,0.9325460413200094,0.9594874015436483,0.008573415,0.9221980988682867,0.9523654877582443
4,0.0071408288,0.9336770793065683,0.9602876492509257,0.008496665,0.9242417426433146,0.9542877535953703
5,0.00921426,0.9338445193764894,0.960290215636644,0.008447683,0.9237322969220447,0.9536475188264228
6,0.0073683364,0.9337632207304071,0.9603428435157717,0.008709704,0.9219031233132555,0.9522921097612824
7,0.009078948,0.9303860450813614,0.9578300610954221,0.008368841,0.9243611180149939,0.9545131100672424
8,0.00803884,0.934259571655154,0.9605057339153386,0.008476962,0.9237935270432384,0.9539281283583596
9,0.009459194,0.9346315135110935,0.96098614030041,0.008304661,0.9238750827600184,0.9534889950930516
10,0.0062258183,0.9347696824156893,0.9608864151256181,0.008485786,0.9230471259651354,0.9530271910061346
11,0.0075228326,0.9353335404219822,0.9613398447282998,0.008268436,0.9242619350354732,0.9537910195154563
12,0.00822971,0.9357292796958419,0.9615001084659017,0.008150644,0.9257583359468833,0.9553181524588684
13,0.006830763,0.9355654887262747,0.9614625043712305,0.0082286615,0.9257726905572191,0.9550478105233096
14,0.007752156,0.9354573686454547,0.9612776714871184,0.008269614,0.9251794347098642,0.9545261715060079
15,0.009316688,0.936170732437071,0.9619583476317324,0.008177933,0.9253536453540772,0.9545014286709721
16,0.007519349,0.93614343093886,0.9618341991599181,0.0081376955,0.9258758349510143,0.9550571134157271
17,0.006514931,0.9362269524100707,0.9619158166954777,0.008152091,0.9252592782593663,0.9545576385248491
18,0.0065558236,0.9369428247661394,0.962154886308409,0.007981786,0.9271189226386473,0.956218414217512
19,0.008226725,0.9370411563986272,0.9623702230867642,0.007940271,0.927203639370536,0.9560529668754505
20,0.009000811,0.9373669019018449,0.9625183901316672,0.008764057,0.9205218816248524,0.9511554684594413
21,0.007110776,0.9354680130180206,0.9614141665713886,0.008440412,0.9240875821170447,0.9542561215775036
